SA2_code,y.ovarian.female,sd.ovarian.female
11001,0.99,0.23979591836734696
11002,0.97,0.11479591836734693
11003,0.99,0.20663265306122447
11004,0.96,0.09438775510204078
11005,0.95,0.1887755102040816
11006,0.97,0.14540816326530615
11007,1,0.14540816326530615
11008,1.01,0.17346938775510204
11009,1.07,0.16326530612244897
11010,1.01,0.16836734693877556
11011,0.95,0.10204081632653059
11012,1.02,0.14540816326530615
11013,0.97,0.13775510204081634
11014,0.88,0.1862244897959184
11015,0.97,0.13010204081632654
11016,1.04,0.18622448979591838
11017,1.01,0.20918367346938774
11018,0.98,0.1658163265306123
11019,0.85,0.15816326530612243
11020,0.97,0.1403061224489796
11021,1.05,0.1989795918367347
11022,0.99,0.1479591836734694
11023,1,0.211734693877551
11024,1.02,0.11989795918367346
11025,0.89,0.1556122448979592
11026,1.04,0.18877551020408162
11027,1.02,0.17857142857142858
11028,0.98,0.211734693877551
11029,0.97,0.15561224489795922
11030,0.98,0.11224489795918366
11031,1.01,0.14285714285714288
11032,1.01,0.13775510204081634
11033,0.92,0.14795918367346939
11034,0.98,0.18112244897959184
11035,1.01,0.17857142857142858
11036,0.99,0.15306122448979595
11037,0.93,0.16836734693877553
11038,0.95,0.23214285714285715
11039,1.01,0.19387755102040816
11040,0.97,0.14285714285714288
11041,0.99,0.1479591836734694
11042,0.94,0.13520408163265304
11043,1.02,0.17346938775510204
11044,1.09,0.15561224489795916
11045,0.96,0.13520408163265307
11046,1.06,0.18877551020408162
11047,1.01,0.1479591836734694
11048,0.94,0.13520408163265307
11049,1.01,0.16326530612244897
11050,1.01,0.16326530612244902
11051,1,0.16071428571428575
11052,0.98,0.20663265306122447
11053,1.01,0.20408163265306123
11054,1.04,0.25
11055,1.03,0.1683673469387755
11056,1.07,0.16326530612244897
11057,1.1,0.18367346938775514
11058,1.01,0.19387755102040816
11059,1.1,0.26785714285714285
11060,1.01,0.1173469387755102
11061,1.07,0.1785714285714286
11062,1.03,0.14540816326530615
11063,1.02,0.20663265306122447
11064,1,0.13775510204081634
11065,0.98,0.13520408163265307
11066,0.99,0.18367346938775508
11067,0.93,0.19642857142857145
11068,1.04,0.1479591836734694
11069,1.01,0.125
11070,1.08,0.23724489795918366
11071,1.12,0.21428571428571427
11072,0.88,0.17346938775510207
11073,1.01,0.15306122448979595
11074,0.94,0.1173469387755102
11076,0.96,0.15306122448979595
11077,1.03,0.19642857142857142
11078,1.09,0.20408163265306123
11079,0.99,0.11989795918367346
11080,1.11,0.2066326530612245
11081,1.03,0.12244897959183676
11082,1.04,0.18622448979591838
11083,1.03,0.15051020408163263
11084,1.01,0.19642857142857142
11085,1.06,0.2219387755102041
11086,1.05,0.15816326530612243
11087,1.05,0.18877551020408162
11088,0.99,0.1964285714285714
11089,1.14,0.2346938775510204
11090,1.04,0.17857142857142858
11091,1.08,0.1989795918367347
11092,1.01,0.15561224489795922
11093,1.05,0.17091836734693877
11094,1.01,0.14540816326530615
11095,1,0.1683673469387755
11096,1.01,0.13775510204081634
11097,1.04,0.2142857142857143
11098,1.03,0.12755102040816327
11099,0.97,0.14285714285714288
11100,1.04,0.19387755102040816
11101,0.98,0.20153061224489796
11102,0.99,0.1683673469387755
11103,0.99,0.125
11104,1.07,0.20408163265306123
11105,0.99,0.14540816326530615
11106,0.96,0.13520408163265307
11107,1,0.17346938775510204
11108,0.97,0.15306122448979595
11109,0.96,0.09693877551020405
11110,0.96,0.1173469387755102
11111,0.95,0.15306122448979595
11112,1.02,0.24999999999999997
11113,0.99,0.14285714285714288
11114,0.96,0.19897959183673466
11115,0.96,0.13520408163265307
11116,0.93,0.15051020408163265
11117,0.97,0.1479591836734694
11118,1,0.17346938775510204
11119,0.96,0.21173469387755103
11120,0.95,0.17346938775510204
11121,0.98,0.1964285714285714
11122,0.97,0.17091836734693883
11123,0.99,0.1479591836734694
11124,0.94,0.211734693877551
11125,0.98,0.14285714285714288
11126,1.03,0.1989795918367347
11127,1.01,0.17091836734693877
11128,1.05,0.2142857142857143
11129,1.02,0.12244897959183676
11130,1.03,0.1326530612244898
11131,1.06,0.15561224489795916
11132,1.03,0.1683673469387755
11133,1.02,0.17857142857142858
11134,1.05,0.14030612244897964
11135,1.02,0.10969387755102042
11136,1.1,0.18367346938775514
11137,1.1,0.17602040816326534
11138,1.05,0.19642857142857142
11139,1.09,0.21428571428571427
11140,1.03,0.1760204081632653
11141,1.07,0.16836734693877553
11142,1.09,0.23724489795918366
11143,1.04,0.20408163265306123
11144,0.99,0.16326530612244902
11145,1.12,0.20153061224489796
11146,1.01,0.15816326530612249
11147,0.98,0.13520408163265307
11148,0.95,0.1709183673469388
11149,1.01,0.1479591836734694
11150,1.04,0.20408163265306123
11151,1.03,0.15816326530612249
11152,0.96,0.17857142857142858
11153,0.98,0.1479591836734694
11154,0.95,0.17857142857142855
11155,0.95,0.22704081632653061
11156,0.98,0.13775510204081634
11157,0.98,0.19387755102040816
11158,0.96,0.17602040816326534
11159,1,0.15561224489795922
11160,0.89,0.20918367346938777
11162,1.02,0.15051020408163268
11163,0.94,0.15306122448979595
11164,0.93,0.15306122448979592
11165,0.98,0.14285714285714288
11166,0.96,0.1479591836734694
11167,1.04,0.16581632653061223
11168,1.04,0.19642857142857142
11169,1.3,0.22448979591836735
11170,1.06,0.163265306122449
11171,1.26,0.30102040816326536
11172,1.03,0.14540816326530615
11173,1.09,0.17602040816326534
11174,1,0.14540816326530615
11175,0.97,0.12244897959183673
11176,1.16,0.18112244897959187
11177,1.06,0.17602040816326534
11178,1.01,0.15306122448979595
11179,1.01,0.12755102040816327
11180,1.06,0.20153061224489796
11181,1.01,0.11734693877551022
11182,0.91,0.19897959183673466
11183,1,0.10459183673469388
11184,1,0.1989795918367347
11185,0.98,0.12755102040816327
11186,1.02,0.19387755102040816
11187,1.04,0.13520408163265307
11188,1.03,0.1683673469387755
11189,1.01,0.12244897959183673
11190,1,0.17091836734693877
11191,1.06,0.21173469387755103
11192,1,0.125
11193,1.06,0.18622448979591838
11194,1.03,0.14540816326530612
11195,0.96,0.2040816326530612
11196,0.97,0.12755102040816327
11197,1.02,0.19387755102040816
11198,1.01,0.13775510204081634
11199,1.09,0.3010204081632653
11200,1.02,0.1683673469387755
11201,0.97,0.15051020408163268
11202,1.04,0.22704081632653064
11203,1.07,0.20663265306122447
11204,1.1,0.2423469387755102
11205,1,0.11989795918367346
11206,1.04,0.15051020408163268
11207,1.09,0.3801020408163266
11208,1.05,0.15816326530612243
11209,1.03,0.1326530612244898
11210,0.98,0.15816326530612249
11211,1.03,0.22704081632653064
11212,1.01,0.2372448979591837
11213,0.97,0.1785714285714286
11214,0.95,0.14540816326530615
11215,1.12,0.18877551020408168
11216,1.05,0.19642857142857142
11217,1.04,0.16071428571428575
11218,1.01,0.125
11219,1.03,0.17091836734693877
11220,0.96,0.17346938775510207
11221,0.98,0.15051020408163268
11222,1.07,0.18622448979591838
11223,0.99,0.17346938775510204
11224,1.04,0.14540816326530615
11225,1.03,0.15816326530612243
11226,1.02,0.16326530612244897
11227,1.01,0.14540816326530615
11228,1.05,0.17857142857142858
11229,1.02,0.19387755102040816
11230,1,0.2040816326530612
11231,1,0.1479591836734694
11232,0.97,0.211734693877551
11233,1.15,0.20663265306122447
11234,0.91,0.15306122448979592
11235,0.99,0.17091836734693877
11236,0.84,0.163265306122449
11237,0.99,0.17857142857142858
11238,0.99,0.15816326530612249
11239,1,0.18877551020408162
11240,0.94,0.16071428571428573
11241,1,0.2142857142857143
11242,0.95,0.163265306122449
11243,0.94,0.14795918367346939
11244,0.97,0.22704081632653061
11245,1.03,0.1403061224489796
11246,0.94,0.16071428571428573
11247,0.97,0.1326530612244898
11248,0.95,0.15306122448979592
11249,0.98,0.13010204081632654
11250,0.94,0.1556122448979592
11251,0.87,0.17346938775510204
11252,0.92,0.11479591836734693
11253,0.94,0.15051020408163265
11254,0.9,0.13520408163265304
11255,0.77,0.125
11256,0.97,0.19897959183673466
11257,1.03,0.1173469387755102
11258,0.92,0.16836734693877553
11259,1,0.12755102040816327
11260,1.02,0.15561224489795922
11261,0.92,0.19642857142857142
11262,0.97,0.12755102040816327
11263,0.96,0.15816326530612249
11264,0.96,0.1556122448979592
11265,0.96,0.1887755102040816
11266,1,0.13520408163265307
11267,0.99,0.16071428571428575
11268,1.05,0.20408163265306123
11269,0.98,0.16581632653061226
11270,1,0.17857142857142858
11271,1.02,0.12500000000000003
11272,1.03,0.15561224489795916
11273,1.02,0.1836734693877551
11274,1.04,0.17346938775510204
11275,1.01,0.1479591836734694
11276,0.98,0.1479591836734694
11277,1.15,0.18367346938775514
11278,1.09,0.1760204081632653
11279,0.98,0.15051020408163268
11280,0.98,0.18877551020408162
11281,1.03,0.13775510204081634
11282,1.15,0.3010204081632653
11283,1.07,0.16581632653061226
11284,0.97,0.15306122448979592
11285,1,0.15561224489795922
11286,1,0.1479591836734694
11287,0.99,0.1785714285714286
11288,1,0.1403061224489796
11289,1.04,0.13520408163265307
11290,0.96,0.12755102040816327
11291,0.96,0.125
11292,1,0.13010204081632654
11293,0.98,0.13520408163265307
11294,1.01,0.16581632653061223
11295,0.98,0.1403061224489796
11296,0.97,0.13520408163265307
11297,0.97,0.10714285714285712
11298,0.94,0.13520408163265307
11299,0.99,0.14540816326530615
11300,1,0.125
11301,0.99,0.1403061224489796
11302,1.01,0.15816326530612249
11303,1.01,0.14540816326530615
11304,0.98,0.1326530612244898
11305,0.95,0.13775510204081634
11306,0.97,0.15816326530612249
11307,1.04,0.17091836734693877
11308,1,0.1403061224489796
11309,0.99,0.14540816326530615
11310,1.04,0.1479591836734694
11311,0.98,0.1326530612244898
11312,1,0.1173469387755102
11313,1.01,0.17091836734693877
11314,0.99,0.15051020408163268
11315,1.01,0.1683673469387755
11316,1.02,0.15051020408163268
11317,0.96,0.1403061224489796
11318,1,0.1326530612244898
11319,1.02,0.1479591836734694
11320,0.99,0.19132653061224486
11321,0.98,0.18112244897959184
11322,1.01,0.1326530612244898
11323,1.01,0.13520408163265307
11325,0.99,0.16071428571428575
11326,1.02,0.1403061224489796
11327,0.97,0.16071428571428575
11328,0.96,0.13520408163265307
11329,0.99,0.16326530612244897
11330,0.96,0.13775510204081634
11331,0.89,0.13520408163265304
11332,0.97,0.11989795918367346
11333,1.07,0.1836734693877551
11334,0.93,0.15306122448979592
11335,0.98,0.13010204081632654
11336,1.05,0.17857142857142858
11337,0.99,0.15051020408163268
11338,0.96,0.14285714285714288
11339,1.03,0.16581632653061223
11340,0.99,0.16071428571428575
11341,0.98,0.13775510204081634
11343,1,0.12755102040816327
11344,0.84,0.15561224489795916
11345,1.03,0.13010204081632654
11346,0.97,0.1658163265306123
11347,0.97,0.16836734693877553
11348,0.96,0.1734693877551021
11349,0.92,0.1326530612244898
11350,0.95,0.16836734693877556
11351,0.93,0.13775510204081634
11352,0.99,0.15051020408163268
11353,1.06,0.14540816326530612
11354,1.01,0.14540816326530615
11355,1.04,0.1607142857142857
11356,1.04,0.14540816326530615
11357,1.06,0.15561224489795916
11358,1.07,0.1760204081632653
11359,0.96,0.13520408163265307
11360,1.03,0.16326530612244897
11361,1.07,0.17091836734693877
11362,1.04,0.13775510204081634
11363,1.04,0.1760204081632653
11364,1.01,0.12244897959183673
11365,1.15,0.18877551020408168
11366,1.04,0.15051020408163263
11367,1.01,0.1326530612244898
11368,0.87,0.10714285714285715
11369,0.94,0.1326530612244898
11370,1.03,0.14540816326530615
11371,0.93,0.16071428571428573
11372,1.04,0.1836734693877551
11373,1.03,0.1607142857142857
11374,0.94,0.1326530612244898
11375,1.04,0.15051020408163265
11376,0.99,0.1403061224489796
11377,0.99,0.15306122448979595
11378,0.97,0.16071428571428573
11379,0.97,0.15051020408163265
11380,0.93,0.1377551020408163
11381,0.99,0.18112244897959184
11382,0.95,0.1556122448979592
11383,0.95,0.14540816326530615
11384,0.91,0.14030612244897958
11385,1.01,0.24234693877551022
11386,0.9,0.11224489795918366
11387,1.1,0.2270408163265306
11388,0.88,0.13265306122448978
11389,1.02,0.21683673469387757
11390,0.99,0.14540816326530615
11391,1,0.16326530612244897
11392,0.97,0.13520408163265307
11393,1,0.13520408163265307
11394,0.9,0.12755102040816324
11395,0.94,0.13265306122448978
11396,1.07,0.1913265306122449
11397,1.02,0.11989795918367349
11398,0.88,0.11479591836734696
11399,0.88,0.12755102040816324
11400,0.9,0.13520408163265304
11401,0.92,0.14030612244897958
11402,0.95,0.12755102040816327
11403,0.92,0.125
11404,0.99,0.1964285714285714
11405,0.88,0.12755102040816324
11406,0.96,0.15051020408163268
11407,0.99,0.14540816326530615
11408,0.91,0.11479591836734693
11409,0.96,0.15816326530612249
11410,1.03,0.16581632653061223
11411,0.93,0.11479591836734693
11412,0.94,0.14285714285714285
11413,0.95,0.12755102040816327
11414,0.96,0.16836734693877553
11415,1.02,0.18112244897959184
11416,1,0.18367346938775508
11417,0.94,0.20918367346938774
11418,0.85,0.13520408163265304
11419,0.91,0.1709183673469388
11420,1.15,0.23979591836734693
11421,1.13,0.2448979591836735
11422,1.03,0.20153061224489793
11423,1,0.1887755102040816
11424,0.95,0.14795918367346939
11425,0.94,0.1403061224489796
11426,1.01,0.15306122448979595
11427,0.95,0.13775510204081634
11428,1,0.1403061224489796
11429,1.04,0.16581632653061223
11430,0.96,0.14285714285714288
11431,0.97,0.15051020408163268
11432,0.99,0.1479591836734694
11433,1,0.14285714285714288
11434,1,0.17857142857142855
11435,1.01,0.1326530612244898
11436,1.04,0.17346938775510204
11437,1.04,0.15051020408163268
11438,1.02,0.14540816326530615
11440,1.04,0.13520408163265307
11441,1.06,0.15561224489795916
11442,1.15,0.25765306122448983
11443,1.04,0.15561224489795916
11444,1.02,0.1658163265306123
11445,1.01,0.15561224489795922
11446,1.01,0.1326530612244898
11447,1.02,0.14540816326530615
11448,1,0.13775510204081634
11449,1.06,0.18622448979591838
11450,0.99,0.1658163265306123
11451,1.02,0.1403061224489796
11452,1.08,0.18877551020408162
11453,1.01,0.16581632653061223
11454,0.99,0.1403061224489796
11455,1.08,0.16326530612244897
11456,1.02,0.11479591836734696
11457,0.93,0.15561224489795922
11458,0.98,0.1326530612244898
11459,1,0.14540816326530615
11460,0.94,0.14540816326530615
11461,0.96,0.15306122448979595
11462,0.99,0.16071428571428575
11463,0.99,0.11224489795918366
11464,0.91,0.13265306122448978
11465,0.95,0.15306122448979595
11466,0.99,0.16836734693877553
11467,1.01,0.1658163265306123
11468,1.01,0.16326530612244902
11469,1.04,0.15561224489795916
11470,1.04,0.18622448979591838
11471,1,0.1173469387755102
11472,1,0.1403061224489796
11473,1.01,0.16326530612244897
11474,1.08,0.16581632653061226
11475,1.04,0.18877551020408162
11476,0.95,0.13010204081632654
11477,1.02,0.1479591836734694
11478,0.98,0.18112244897959184
11479,1.05,0.16581632653061223
11480,1.03,0.17091836734693877
11481,0.96,0.14285714285714288
11482,1,0.12244897959183673
11483,1.02,0.1607142857142857
11484,0.99,0.13010204081632654
11485,0.99,0.15051020408163268
11486,1.03,0.1683673469387755
11487,1.03,0.18877551020408162
11488,0.96,0.11989795918367346
11489,0.98,0.16071428571428575
11490,0.94,0.15051020408163268
11491,0.99,0.1326530612244898
11492,0.97,0.11479591836734693
11493,1.02,0.15306122448979595
11494,1.02,0.14285714285714288
11495,0.92,0.1403061224489796
11496,0.96,0.12755102040816327
11497,0.97,0.1326530612244898
11498,1.01,0.1785714285714286
11499,1.07,0.2448979591836735
11500,0.95,0.125
11501,0.99,0.15561224489795922
11502,1.05,0.16326530612244897
11503,1.03,0.16071428571428575
11504,1.04,0.18622448979591838
11505,1,0.12755102040816327
11506,1.02,0.1326530612244898
11507,1.02,0.15816326530612243
11508,0.99,0.14540816326530615
11509,1.07,0.16071428571428573
11510,1.07,0.15306122448979592
11511,1.11,0.1785714285714286
11512,1.1,0.15816326530612246
11513,1.13,0.18112244897959187
11514,1.02,0.17091836734693877
11515,1.1,0.17346938775510207
11516,1.05,0.15306122448979592
11517,1.09,0.18622448979591838
11518,1.01,0.15051020408163268
11519,1.05,0.15306122448979592
11520,1.09,0.1862244897959184
11521,1.02,0.1607142857142857
11522,1.04,0.16581632653061223
11523,1.08,0.13520408163265304
11524,1.04,0.13775510204081634
11525,1.11,0.16581632653061226
11526,1.03,0.14285714285714288
11527,1,0.1760204081632653
11528,0.97,0.1479591836734694
11529,0.92,0.13265306122448978
11530,0.96,0.15306122448979595
11531,0.93,0.14795918367346939
11532,1.09,0.1556122448979592
11533,0.97,0.16326530612244902
11534,0.99,0.22704081632653061
11535,0.99,0.13520408163265307
11536,0.85,0.14540816326530612
11537,1,0.15051020408163268
11538,1.02,0.1607142857142857
21001,1.03,0.15816326530612243
21002,0.98,0.15816326530612249
21003,1,0.1403061224489796
21004,0.99,0.1326530612244898
21005,0.94,0.15306122448979592
21006,1,0.1607142857142857
21007,1,0.1683673469387755
21008,1.05,0.1760204081632653
21009,1.01,0.1326530612244898
21010,1.03,0.15051020408163263
21011,1.04,0.15051020408163263
21012,1,0.13520408163265307
21013,1.05,0.163265306122449
21014,1.05,0.1479591836734694
21015,1,0.13775510204081634
21016,1,0.20153061224489793
21017,1.05,0.13775510204081634
21018,1.02,0.1683673469387755
21019,1.06,0.1760204081632653
21020,1.07,0.17091836734693877
21021,1.06,0.1607142857142857
21022,1.07,0.17091836734693877
21023,1.01,0.1683673469387755
21024,1.08,0.21173469387755103
21025,1.03,0.15816326530612243
21026,1.05,0.1352040816326531
21027,0.97,0.1709183673469388
21028,1.09,0.14030612244897958
21029,1.04,0.1760204081632653
21030,1.01,0.1607142857142857
21031,0.95,0.1173469387755102
21032,1.04,0.13265306122448983
21033,1.01,0.13520408163265307
21034,0.98,0.1479591836734694
21035,0.99,0.1326530612244898
21036,0.98,0.11989795918367346
21037,0.93,0.15306122448979595
21038,0.95,0.14285714285714288
21039,0.98,0.16836734693877553
21040,0.98,0.13010204081632654
21041,0.89,0.11479591836734696
21042,0.94,0.13010204081632654
21043,0.95,0.1479591836734694
21044,0.91,0.17602040816326534
21045,0.94,0.14795918367346939
21046,0.98,0.17091836734693877
21047,0.99,0.15561224489795922
21048,0.92,0.18367346938775514
21049,0.95,0.14285714285714285
21050,0.87,0.1224489795918367
21051,0.96,0.20153061224489793
21052,0.88,0.17346938775510207
21053,0.9,0.13520408163265304
21054,0.96,0.12755102040816327
21055,1.02,0.13775510204081634
21056,1.04,0.1760204081632653
21057,1.01,0.15051020408163268
21058,1.03,0.13520408163265307
21059,0.99,0.18112244897959184
21060,1.01,0.12755102040816327
21061,1,0.17091836734693877
21062,0.98,0.1479591836734694
21063,1.07,0.2780612244897959
21064,1.04,0.15561224489795916
21065,1.01,0.18622448979591838
21066,1.1,0.22959183673469385
21067,1.07,0.14540816326530612
21068,1.03,0.17091836734693877
21069,1.05,0.1989795918367347
21070,1.03,0.15561224489795916
21071,1.03,0.1836734693877551
21072,1.04,0.15051020408163263
21073,0.99,0.14540816326530615
21074,0.98,0.1403061224489796
21075,1.02,0.16581632653061223
21076,1,0.13775510204081634
21077,1.02,0.125
21078,1.08,0.17857142857142858
21079,1.04,0.17346938775510204
21081,1.19,0.23214285714285715
21082,1.06,0.1352040816326531
21084,1.17,0.25255102040816324
21085,1.01,0.16836734693877556
21086,1.07,0.18622448979591838
21087,0.98,0.15306122448979595
21088,1.04,0.28571428571428575
21089,1.05,0.15051020408163263
21090,1.04,0.163265306122449
21091,1.13,0.3418367346938776
21092,0.99,0.2653061224489796
21093,1.13,0.17602040816326534
21094,1.03,0.13010204081632654
21095,1.03,0.16581632653061223
21096,0.99,0.1658163265306123
21097,1.04,0.16581632653061223
21098,1.03,0.16581632653061223
21099,1.05,0.15816326530612243
21100,1.09,0.19387755102040818
21101,1.1,0.14285714285714285
21102,1.08,0.16836734693877553
21103,1.16,0.21683673469387754
21104,1.07,0.18622448979591838
21105,1.02,0.14285714285714288
21106,1.05,0.14030612244897964
21107,1.05,0.1352040816326531
21108,1.06,0.12500000000000003
21109,1.02,0.16071428571428575
21110,1.06,0.16326530612244897
21111,1.11,0.14540816326530612
21112,1.07,0.1683673469387755
21113,1.04,0.1326530612244898
21114,1.01,0.1479591836734694
21115,1.02,0.14540816326530615
21116,1.04,0.17346938775510204
21117,0.96,0.12244897959183673
21118,0.96,0.16581632653061226
21119,0.97,0.125
21120,1.02,0.17346938775510204
21121,1.05,0.15816326530612249
21122,0.91,0.1301020408163265
21123,0.98,0.13775510204081634
21124,0.97,0.1326530612244898
21125,0.98,0.16836734693877556
21126,0.94,0.1326530612244898
21128,0.95,0.16326530612244902
21129,1.03,0.18622448979591838
21130,0.93,0.15816326530612246
21131,0.96,0.1479591836734694
21132,0.94,0.15051020408163265
21133,1.01,0.1530612244897959
21134,0.99,0.15816326530612249
21135,0.97,0.15051020408163268
21136,0.94,0.13520408163265307
21137,0.91,0.1301020408163265
21138,0.96,0.13010204081632654
21139,0.98,0.1479591836734694
21140,0.99,0.14540816326530615
21141,0.99,0.14285714285714288
21142,0.98,0.15561224489795922
21143,1,0.14285714285714288
21144,0.98,0.13010204081632654
21145,1.03,0.14285714285714288
21146,0.99,0.2040816326530612
21147,1.05,0.15306122448979592
21148,1,0.125
21149,0.96,0.1479591836734694
21150,0.94,0.1173469387755102
21151,0.98,0.1403061224489796
21152,0.94,0.12755102040816327
21153,0.97,0.11479591836734693
21154,1.03,0.14285714285714288
21155,0.91,0.1301020408163265
21156,1.03,0.15306122448979595
21157,0.94,0.13010204081632654
21158,0.99,0.125
21159,0.97,0.13010204081632654
21160,0.97,0.13520408163265307
21161,0.98,0.12244897959183673
21162,0.96,0.1479591836734694
21163,1,0.15816326530612243
21164,1.04,0.14030612244897964
21165,0.96,0.11224489795918366
21166,0.96,0.125
21167,0.95,0.14285714285714288
21168,1.03,0.1479591836734694
21169,1.02,0.15306122448979595
21170,1.03,0.1403061224489796
21171,1.06,0.15816326530612243
21172,1.07,0.14285714285714285
21173,1.11,0.17857142857142858
21174,1.11,0.16581632653061226
21175,1.02,0.11479591836734696
21176,0.98,0.14540816326530615
21177,0.97,0.11224489795918366
21178,1.03,0.16326530612244897
21179,0.95,0.15561224489795922
21180,0.98,0.15306122448979595
21181,0.98,0.15561224489795922
21182,1.04,0.15561224489795916
21183,0.96,0.1709183673469388
21184,0.96,0.15306122448979595
